Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Jamaica,JAM,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Japan,JPN,19.8195509508126
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Jordan,JOR,30.6573769980199
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Kazakhstan,KAZ,33.4497658470191
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Kenya,KEN,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Kiribati,KIR,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,"Korea, Dem. People’s Rep.",PRK,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,"Korea, Rep.",KOR,19.3002242976259
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Kosovo,XKX,19.4262824721592
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Kuwait,KWT,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Kyrgyz Republic,KGZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Lao PDR,LAO,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Latvia,LVA,27.2250313828965
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Lebanon,LBN,15.8495102641513
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Lesotho,LSO,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Liberia,LBR,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Libya,LBY,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Liechtenstein,LIE,..
