Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Nepal,NPL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Netherlands,NLD,4.41847049038968
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,New Caledonia,NCL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,New Zealand,NZL,4.80995415074716
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Nicaragua,NIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Niger,NER,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Nigeria,NGA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Northern Mariana Islands,MNP,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Norway,NOR,3.57222738344536
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Oman,OMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Pakistan,PAK,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Palau,PLW,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Panama,PAN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Papua New Guinea,PNG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Paraguay,PRY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Peru,PER,19.1580977625515
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Philippines,PHL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Poland,POL,3.15392388785888
