Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Mongolia,MNG,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Montenegro,MNE,4.06702258103285
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Morocco,MAR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Mozambique,MOZ,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Myanmar,MMR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Namibia,NAM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Nauru,NRU,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Nepal,NPL,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Netherlands,NLD,1.08211072033986
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,New Caledonia,NCL,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,New Zealand,NZL,1.01608109649187
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Nicaragua,NIC,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Niger,NER,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Nigeria,NGA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Northern Mariana Islands,MNP,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Norway,NOR,0.774617742210438
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Oman,OMN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Pakistan,PAK,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Palau,PLW,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Panama,PAN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Papua New Guinea,PNG,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Paraguay,PRY,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Peru,PER,6.44411986768624
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Philippines,PHL,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Poland,POL,0.465862472544824
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Portugal,PRT,0.648546753575412
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Puerto Rico,PRI,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Qatar,QAT,11.1161008095526
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Romania,ROU,3.71386115533284
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Russian Federation,RUS,0.29374973566599
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Rwanda,RWA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Samoa,WSM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,San Marino,SMR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Sao Tome and Principe,STP,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Saudi Arabia,SAU,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Senegal,SEN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Serbia,SRB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Seychelles,SYC,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Sierra Leone,SLE,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Singapore,SGP,0.328989241865824
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Sint Maarten (Dutch part),SXM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Slovak Republic,SVK,4.44525293208893
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Slovenia,SVN,0.512658813822712
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Solomon Islands,SLB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Somalia,SOM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,South Africa,ZAF,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,South Sudan,SSD,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Spain,ESP,0.726182138563688
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Sri Lanka,LKA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,St. Kitts and Nevis,KNA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,St. Lucia,LCA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,St. Martin (French part),MAF,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,St. Vincent and the Grenadines,VCT,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Sudan,SDN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Suriname,SUR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Sweden,SWE,1.50898614282393
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Switzerland,CHE,1.20986420586158
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Syrian Arab Republic,SYR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Tajikistan,TJK,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Tanzania,TZA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Thailand,THA,2.82534477877488
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Timor-Leste,TLS,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Togo,TGO,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Tonga,TON,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Trinidad and Tobago,TTO,5.66715063966617
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Tunisia,TUN,11.0985833497694
