Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Hungary,HUN,17.9890128247632
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Iceland,ISL,14.2897286910582
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,India,IND,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Indonesia,IDN,34.7680826415472
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Iran, Islamic Rep.",IRN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Iraq,IRQ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Ireland,IRL,8.26958332734552
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Isle of Man,IMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Israel,ISR,15.1992781001889
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Italy,ITA,14.5164560780771
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Jamaica,JAM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Japan,JPN,9.23537115168318
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Jordan,JOR,25.205643087862
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Kazakhstan,KAZ,28.9626678917253
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Kenya,KEN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Kiribati,KIR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Korea, Dem. People’s Rep.",PRK,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Korea, Rep.",KOR,9.52932722324044
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Kosovo,XKX,34.1834526870632
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Kuwait,KWT,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Kyrgyz Republic,KGZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Lao PDR,LAO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Latvia,LVA,13.4226523008871
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Lebanon,LBN,21.6977760423792
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Lesotho,LSO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Liberia,LBR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Libya,LBY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Liechtenstein,LIE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Lithuania,LTU,17.1305435372663
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Luxembourg,LUX,15.9157036390352
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Macao SAR, China",MAC,9.32807449719811
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Macedonia, FYR",MKD,27.7069561455063
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Madagascar,MDG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Malawi,MWI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Malaysia,MYS,24.4996626008023
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Maldives,MDV,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Mali,MLI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Malta,MLT,16.9646271896198
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Marshall Islands,MHL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Mauritania,MRT,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Mauritius,MUS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Mexico,MEX,28.3871719836444
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Micronesia, Fed. Sts.",FSM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Moldova,MDA,25.1408077180682
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Monaco,MCO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Mongolia,MNG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Montenegro,MNE,24.8653336289525
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Morocco,MAR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Mozambique,MOZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Myanmar,MMR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Namibia,NAM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Nauru,NRU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Nepal,NPL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Netherlands,NLD,12.5634023540681
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,New Caledonia,NCL,..
